speaker_id,speaker_id_raw,l1_status,gender,sent_id,sentence_text,repetition,word,onset,offset,duration_ms,wav_path,sentence_index
ab,AB,ru,f,FRCORP1,Dis j'en chie trois fois,1,dis,1.1,1.57,470.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp1.wav,1
ab,AB,ru,f,FRCORP1,Dis j'en chie trois fois,1,j'enchie,1.62,2.5,880.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp1.wav,1
ab,AB,ru,f,FRCORP1,Dis j'en chie trois fois,1,trois,2.55,2.97,420.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp1.wav,1
ab,AB,ru,f,FRCORP1,Dis j'en chie trois fois,1,fois,2.97,3.39,420.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp1.wav,1
ab,AB,ru,f,FRCORP10,Dis juxtaposer trois fois,1,dis,0.67,1.14,470.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp10.wav,2
ab,AB,ru,f,FRCORP10,Dis juxtaposer trois fois,1,juxtaposer,1.36695,2.44606,1079.11,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp10.wav,2
ab,AB,ru,f,FRCORP10,Dis juxtaposer trois fois,1,trois,2.83,3.14,310.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp10.wav,2
ab,AB,ru,f,FRCORP10,Dis juxtaposer trois fois,1,fois,3.14,3.55,410.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp10.wav,2
ab,AB,ru,f,FRCORP11,Dis pas ceux trois fois,1,dis,0.83,1.22,390.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp11.wav,3
ab,AB,ru,f,FRCORP11,Dis pas ceux trois fois,1,pasceux,1.50438,2.14057,636.19,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp11.wav,3
ab,AB,ru,f,FRCORP11,Dis pas ceux trois fois,1,trois,2.51,2.83,320.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp11.wav,3
ab,AB,ru,f,FRCORP11,Dis pas ceux trois fois,1,fois,2.83,3.23,400.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp11.wav,3
ab,AB,ru,f,FRCORP12,Dis garage trois fois,1,dis,0.65,1.01,360.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp12.wav,4
ab,AB,ru,f,FRCORP12,Dis garage trois fois,1,garage,1.08199,1.77043,688.44,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp12.wav,4
ab,AB,ru,f,FRCORP12,Dis garage trois fois,1,trois,2.04,2.36,320.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp12.wav,4
ab,AB,ru,f,FRCORP12,Dis garage trois fois,1,fois,2.36,2.76,400.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp12.wav,4
ab,AB,ru,f,FRCORP13,Dis tsarine trois fois,1,dis,0.67,1.05,380.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp13.wav,5
ab,AB,ru,f,FRCORP13,Dis tsarine trois fois,1,tsarine,1.13137,1.73,598.63,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp13.wav,5
ab,AB,ru,f,FRCORP13,Dis tsarine trois fois,1,trois,2.06,2.39,330.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp13.wav,5
ab,AB,ru,f,FRCORP13,Dis tsarine trois fois,1,fois,2.39,2.77,380.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp13.wav,5
ab,AB,ru,f,FRCORP14,Dis cache-cache trois fois,1,dis,0.58,0.93,350.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp14.wav,6
ab,AB,ru,f,FRCORP14,Dis cache-cache trois fois,1,cachecache,1.04,1.89189,851.89,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp14.wav,6
ab,AB,ru,f,FRCORP14,Dis cache-cache trois fois,1,trois,2.24,2.54,300.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp14.wav,6
ab,AB,ru,f,FRCORP14,Dis cache-cache trois fois,1,fois,2.54,2.94,400.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp14.wav,6
ab,AB,ru,f,FRCORP15,Dis tsarine trois fois,2,dis,0.61,0.97,360.0,data\raw\ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp15.wav,7
